Time,Infected Homosexual Males,Infected Bisexual Males,Infected Heterosexual Females,Infected Heterosexual Males
0.27,4.996665363466546,4.998076682953687,99.95237980212784,99.95000047004332
0.271,4.996665484680497,4.998076682984435,99.95237983145144,99.95000054214702
0.272,4.99666559680659,4.9980766830124095,99.95237985769955,99.95000060704164
0.273,4.996665700526177,4.998076683037876,99.95237988119476,99.95000066544797
0.274,4.9966657964695225,4.998076683061075,99.9523799022258,99.95000071801469
0.275,4.996665885219641,4.998076683082223,99.95237992105112,99.95000076532567
0.276,4.996665967315835,4.998076683101511,99.95237993790208,99.95000080790638
0.277,4.996666043256973,4.9980766831191135,99.95237995298575,99.95000084622976
0.278,4.996666113504523,4.998076683135188,99.95237996648748,99.95000088072146
0.279,4.996666178485355,4.998076683149874,99.9523799785732,99.95000091176459
0.28,4.996666238594332,4.9980766831632994,99.95237998939143,99.95000093970394
0.281,4.996666294196717,4.9980766831755785,99.95237999907509,99.95000096484982
0.28200000000000003,4.996666345630385,4.998076683186815,99.95238000774319,99.95000098748154
0.28300000000000003,4.99666639320788,4.998076683197102,99.95238001550223,99.95000100785047
0.28400000000000003,4.996666437218313,4.998076683206524,99.95238002244756,99.95000102618285
0.28500000000000003,4.996666477929121,4.998076683215158,99.9523800286645,99.95000104268229
0.28600000000000003,4.996666515587689,4.998076683223074,99.95238003422948,99.95000105753206
0.28700000000000003,4.996666550422854,4.998076683230334,99.95238003921084,99.9500010708971
0.28800000000000003,4.996666582646298,4.998076683236994,99.9523800436698,99.95000108292585
0.289,4.99666661245383,4.998076683243108,99.95238004766117,99.95000109375192
0.29,4.9966666400265805,4.998076683248721,99.95238005123396,99.95000110349555
0.291,4.9966666655321,4.998076683253876,99.95238005443208,99.95000111226497
0.292,4.996666689125376,4.9980766832586125,99.95238005729482,99.9500011201576
0.293,4.996666710949776,4.9980766832629655,99.95238005985735,99.95000112726107
0.294,4.996666731137919,4.998076683266968,99.95238006215116,99.95000113365433
0.295,4.996666749812483,4.998076683270648,99.95238006420443,99.95000113940834
0.296,4.9966667670869445,4.998076683274034,99.9523800660424,99.95000114458705
0.297,4.996666783066276,4.99807668327715,99.95238006768761,99.95000114924797
0.298,4.996666797847578,4.998076683280017,99.95238006916031,99.95000115344287
0.299,4.9966668115206705,4.998076683282656,99.95238007047858,99.95000115721834
0.3,4.99666682416864,4.998076683285087,99.95238007165861,99.95000116061632
0.301,4.996666835868345,4.998076683287326,99.9523800727149,99.95000116367456
0.302,4.996666846690879,4.998076683289388,99.95238007366044,99.95000116642701
0.303,4.996666856702007,4.998076683291288,99.95238007450682,99.95000116890427
0.304,4.996666865962564,4.998076683293038,99.95238007526444,99.95000117113382
0.305,4.996666874528823,4.998076683294652,99.95238007594263,99.95000117314046
0.306,4.996666882452837,4.99807668329614,99.9523800765497,99.95000117494646
0.307,4.996666889782759,4.998076683297511,99.95238007709312,99.95000117657189
0.308,4.996666896563129,4.998076683298776,99.95238007757956,99.9500011780348
0.309,4.996666902835149,4.998076683299943,99.952380078015,99.95000117935143
0.31,4.996666908636933,4.9980766833010195,99.95238007840477,99.95000118053643
0.311,4.996666914003735,4.9980766833020125,99.95238007875368,99.95000118160294
0.312,4.9966669189681685,4.998076683302928,99.952380079066,99.95000118256281
